Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
stark,adjective,severe or bare in appearance,The stark results confirmed initial predictions.,startling(); striking(); dramatic(; ),Core,High
pompous,adjective,excessively elevated or ornate,Market conditions remained pompous throughout the year.,pretentious,Medium,Mid
grim,adjective,looking or sounding very serious,The grim proposal gained widespread support.,bleak; hopeless; dismal; gloomy,Core,High
idyllic,adjective,pastoral,Students found the idyllic explanation helpful.,,Medium,Mid
milieu,noun,background,Budget constraints limited the milieu.,,Medium,Mid
fraction,noun,a small part or amount of something,The team's fraction improved over time.,,Medium,Mid
watershed,noun,an event or a period of time that marks an important change,Historical records documented the watershed.,,Advanced,Low
prospector,noun,"a person who searches an area for gold, minerals, oil, etc.",The prospector emerged as a critical factor.,,Advanced,Low
pose,verb,"to create a threat, problem, etc. that has to be dealt with",Recent studies pose previous assumptions about climate patterns.,,Core,High
penury,noun,severe poverty,Analysis revealed a significant penury in the data.,destitution; indigence,Medium,Mid
omnipotent,adjective,having virtually unlimited authority or influence,Budget constraints made expansion omnipotent.,,Advanced,Low
conviction,noun,"belief, faith",The research conviction took three years to complete.,,Advanced,Low
languish,verb,lose vitality,Historians languish the accuracy of ancient texts.,,Medium,Mid
close,noun,sell goods very cheaply in order to get rid of them quickly,The close proved more complex than initially anticipated.,,Core,High
imposing,adjective,grand and impressive in appearance,His imposing reasoning convinced the board members.,,Medium,Mid
arduous,adjective,requiring great effort,The arduous results confirmed initial predictions.,laborious; strenuous; onerous,Medium,Mid
foliage,noun,the leaves of a tree or plant,Success depends on understanding the foliage.,,Medium,Mid
striking,adjective,interesting and unusual enough to attract attention,The striking proposal gained widespread support.,,Medium,Mid
onomatopoeia,noun,words containing sounds similar to the noises they describe,The onomatopoeia became apparent during testing.,,Advanced,Low
radical,adjective,desperate,The radical design won several awards.,,Medium,Mid
oblige,verb,"compel, constrain, require, put under an obligation",Doctors oblige treatment based on patient response.,,Medium,Mid
ostentatious,adjective,showy,The ostentatious evidence supported the theory.,,Advanced,Low
cyclical,adjective,repeated many times and always happening in the same order,Weather remained cyclical during the expedition.,,Medium,Mid
apprehensive,adjective,worried or frightened that something unpleasant may happen,Her apprehensive approach solved the complex problem.,,Advanced,Low
sarcastic,adjective,"ironic, satirical, scornful, derisive, mocking, ridiculing",The sarcastic response surprised most observers.,,Advanced,Low
conform,noun,"to obey a rule, law, etc. to agree with or match something",The conform affected production schedules throughout the quarter.,,Medium,Mid
utopia,noun,an imaginary place or state in which everything is perfect,The research utopia took three years to complete.,,Medium,Mid
paucity,noun,a small amount of something,Evidence clearly supported the paucity.,,Medium,Mid
compatible,adjective,well-suited,The team showed compatible improvement over time.,,Advanced,Low
intermittent,adjective,occurring at irregular intervals,His intermittent reasoning convinced the board members.,,Advanced,Low
fault,noun,shortcoming,Researchers studied the fault under laboratory conditions.,,Core,High
bank,verb,to travel with one side higher than the other when turning,Administrators bank the new policy immediately.,,Core,High
mirth,noun,"happiness, fun and the sound of people laughing",Competition revealed each participant's mirth.,,Core,High
lineage,noun,the series of families that somebody comes,The lineage became apparent during testing.,,Medium,Mid
come,noun,admit and explain something that you have kept as a secret,Budget constraints limited the come.,,Core,High
investigative,adjective,of or concerned with investigating or inspecting something,Their investigative strategy proved effective.,,Advanced,Low
tenable,adjective,"capable of being held, maintained, or defended",The tenable evidence supported the theory.,,Medium,Mid
accommodate,verb,"adjust, adapt, fit in with",Officials accommodate the proposal after public hearings.,,Advanced,Low
sterile,adjective,"germ-free, sterilized",Her sterile approach solved the complex problem.,,Medium,Mid
associative,adjective,relating to the association of ideas or things,The associative response surprised most observers.,,Advanced,Low
dramatize,verb,present vividly,Financial advisors dramatize conservative investment strategies.,,Advanced,Low
impious,adjective,showing a lack of respect for God and religion,The impious conditions lasted several weeks.,irreligious; irreverent; disrespectful,Medium,Mid
unsavory,adjective,unpleasant or offensive,The unsavory situation demanded immediate action.,,Medium,Mid
imbibe,verb,absorb or assimilate,Urban planners imbibe traffic flow through new routes.,,Medium,Mid
incorporate,verb,take in or contain as part of a whole,Teachers incorporate different learning styles in lesson plans.,,Advanced,Low
intrepid,adjective,fearless,The intrepid results confirmed initial predictions.,,Medium,Mid
faint,adjective,weak,Market conditions remained faint throughout the year.,,Core,High
prominence,noun,"the state of being important, well known or easy to notice",Competition revealed each participant's prominence.,,Advanced,Low
vindicate,verb,justify,Researchers vindicate the data before publication.,,Advanced,Low
appalled,adjective,horrified,The appalled design won several awards.,,Medium,Mid
take,noun,start disagreeing or arguing with somebody about something,The team's take improved over time.,,Core,High
imperturbable,adjective,not easily upset or worried by a difficult situation,The imperturbable evidence supported the theory.,,Advanced,Low
foist,verb,to force another to accept especially by stealth or deceit,Officials foist the proposal after public hearings.,impose; inflict,Core,High
materialistic,adjective,caring more about money and possessions than anything else,Her materialistic approach solved the complex problem.,,Advanced,Low
unanimity,noun,complete agreement about something among a group of people,Analysis revealed a significant unanimity in the data.,,Advanced,Low
empathy,noun,"sympathy, understanding, identification, affinity, rapport",The empathy affected production schedules throughout the quarter.,,Medium,Mid
commonplace,adjective,not unusual,The commonplace conditions lasted several weeks.,,Advanced,Low
botanist,noun,an expert in or student of the scientific study of plants,Evidence clearly supported the botanist.,,Medium,Mid
underscore,verb,to emphasize,Urban planners underscore traffic flow through new routes.,emphasize; stress; accentuate; highlight,Advanced,Low
yield,noun,production,Each yield required separate documentation and approval.,,Core,High
anguish,noun,"severe physical or mental pain, difficulty or unhappiness",Researchers studied the anguish under laboratory conditions.,,Medium,Mid
abundant,adjective,existing in large quantities,Market conditions remained abundant throughout the year.,,Medium,Mid
devastating,adjective,disastrous,The devastating proposal gained widespread support.,,Advanced,Low
hatchling,noun,a baby bird or animal that has just come out of its shell,The hatchling became apparent during testing.,,Advanced,Low
curtail,verb,to make less by or as if by cutting off or away some part,Companies curtail customer feedback to improve products.,,Medium,Mid
dulcet,adjective,sounding sweet and pleasant,Their dulcet strategy proved effective.,,Medium,Mid
remiss,adjective,not giving something enough care and attention,The remiss evidence supported the theory.,,Medium,Mid
demise,noun,death,The demise emerged as a critical factor.,,Medium,Mid
convention,noun,"custom, accepted practice",The convention influenced the committee's final decision.,,Advanced,Low
mean,adjective,"lowly, malicious, miserly, ungenerous, average n. average",The mean response surprised most observers.,,Core,High
reservation,noun,"booking, prearrangement",The reservation affected production schedules throughout the quarter.,,Advanced,Low
malicious,adjective,intending to do harm,The malicious conditions lasted several weeks.,,Advanced,Low
tenure,noun,the holding of an office,Evidence clearly supported the tenure.,,Medium,Mid
trial,noun,"test, experiment",The trial proved more complex than initially anticipated.,,Core,High
aggrieved,adjective,distressed,His aggrieved reasoning convinced the board members.,,Advanced,Low
uneventful,adjective,"in which nothing interesting, unusual or exciting happens",The uneventful results confirmed initial predictions.,,Advanced,Low
universal,adjective,"general, applicable in all cases",Market conditions remained universal throughout the year.,,Advanced,Low
alliteration,noun,use of the same letter or sound at the beginning of words,Competition revealed each participant's alliteration.,,Advanced,Low
overreact,verb,"to react too strongly, especially to something unpleasant",Researchers overreact the data before publication.,,Advanced,Low
skirt,verb,avoid,Companies skirt customer feedback to improve products.,,Core,High
dreary,adjective,that makes you feel sad,Their dreary strategy proved effective.,dull; bleak; lifeless; depressing,Medium,Mid
precipitate,verb,quicken,Students precipitate their study habits before finals.,,Advanced,Low
insinuate,verb,to impart or suggest in an artful or indirect way,Officials insinuate the proposal after public hearings.,,Advanced,Low
ameliorate,verb,to make better something that was bad or not good enough,Recent studies ameliorate previous assumptions about climate patterns.,,Advanced,Low
exclude,verb,deny access to,Engineers exclude the bridge design after stress tests.,,Medium,Mid
quirk,noun,a peculiar trait,The quirk affected production schedules throughout the quarter.,,Core,High
duplication,noun,making an exact copy of something,The research duplication took three years to complete.,,Advanced,Low
attenuated,adjective,lessened or weakened,The attenuated situation demanded immediate action.,,Advanced,Low
mask,verb,hide,Urban planners mask traffic flow through new routes.,,Core,High
by,noun,"largely, mostly, mainly, to a large extent, on the whole",Each by required separate documentation and approval.,,Core,High
abortive,adjective,unsuccessful,The abortive results confirmed initial predictions.,,Medium,Mid
lukewarm,adjective,slightly warm,Market conditions remained lukewarm throughout the year.,,Medium,Mid
taut,adjective,stretched tightly,The taut proposal gained widespread support.,tight; tense,Core,High
suspicious,adjective,"distrustful, doubtful, disputable, questionable, dubious",Students found the suspicious explanation helpful.,,Advanced,Low
mitigate,verb,alleviate,Companies mitigate customer feedback to improve products.,,Medium,Mid
tolerant,adjective,broad-minded,Their tolerant strategy proved effective.,,Medium,Mid
read,verb,"peruse, study, scrutinize",Students read their study habits before finals.,,Core,High
absorbed,adjective,having one's attention fully engaged,Weather remained absorbed during the expedition.,,Medium,Mid
ill-advised,adjective,not sensible,Her ill-advised approach solved the complex problem.,,Advanced,Low
antithesis,noun,the opposite of something,Analysis revealed a significant antithesis in the data.,,Advanced,Low
indecipherable,adjective,impossible to read or understand,Budget constraints made expansion indecipherable.,,Advanced,Low
bias,noun,prejudice,The research bias took three years to complete.,partiality (); prejudice,Core,High
degrade,verb,break down,Historians degrade the accuracy of ancient texts.,,Medium,Mid
deciduous,adjective,that loses its leaves every year,The team showed deciduous improvement over time.,,Advanced,Low
subterranean,adjective,being under the surface of the earth,His subterranean reasoning convinced the board members.,,Advanced,Low
regrettable,adjective,being sorry and wishing that something had not happened,The regrettable results confirmed initial predictions.,,Advanced,Low
unpretentious,adjective,modest,Market conditions remained unpretentious throughout the year.,,Advanced,Low
belonging,noun,possessions,Competition revealed each participant's belonging.,,Advanced,Low
barren,adjective,unproductive,Students found the barren explanation helpful.,,Medium,Mid
elusive,adjective,"difficult to find, catch, or achieve",The elusive design won several awards.,,Medium,Mid
discipline,noun,field of study,The team's discipline improved over time.,,Advanced,Low
malevolent,adjective,malicious,The malevolent evidence supported the theory.,,Advanced,Low
jubilant,adjective,feeling or showing great happiness because of a success,Weather remained jubilant during the expedition.,,Medium,Mid
gaudy,adjective,garish,Her gaudy approach solved the complex problem.,garish (; ),Core,High
constrained,adjective,not natural,The constrained response surprised most observers.,,Advanced,Low
disproportionat,adjective,relatively too large or too small,Budget constraints made expansion disproportionat.,,Advanced,Low
shore,noun,help to support something that is weak or going to fail,The research shore took three years to complete.,,Core,High
devise,verb,to invent something new or a new way of doing something,Historians devise the accuracy of ancient texts.,,Medium,Mid
communicate,verb,convey,Urban planners communicate traffic flow through new routes.,,Advanced,Low
incessant,adjective,continuing or following without interruption,His incessant reasoning convinced the board members.,,Advanced,Low
receptive,adjective,willing to consider or accept new suggestions and ideas,The receptive results confirmed initial predictions.,,Advanced,Low
unprecedented,adjective,"that has never happened, been done or been known before",Market conditions remained unprecedented throughout the year.,,Advanced,Low
prime,verb,"prepare, make ready",Athletes prime their training during off-season.,,Core,High
verisimilitude,noun,the quality of seeming to be true or real,The verisimilitude became apparent during testing.,,Advanced,Low
block,noun,chunk,Budget constraints limited the block.,,Core,High
nature,noun,essential quality,The team's nature improved over time.,,Medium,Mid
foment,verb,incite,Students foment their study habits before finals.,instigate; incite; provoke; stir up,Medium,Mid
exceptional,adjective,better than average,Weather remained exceptional during the expedition.,,Advanced,Low
humanitarian,adjective,"humane, compassionate, benevolent, civilized, merciful",Her humanitarian approach solved the complex problem.,,Advanced,Low
heterogeneous,adjective,consisting of many different kinds of people or things,The heterogeneous response surprised most observers.,,Advanced,Low
improvise,verb,create or perform spontaneously or without preparation,Financial advisors improvise conservative investment strategies.,,Advanced,Low
embody,verb,"symbolize, give tangible form to",Museums embody artifacts from private collectors.,,Medium,Mid
relish,verb,enjoy greatly n. great enjoyment,Historians relish the accuracy of ancient texts.,,Medium,Mid
disparate,adjective,essentially different in kind,The team showed disparate improvement over time.,,Advanced,Low
intimidating,adjective,"having a frightening, overawing, or threatening effect",His intimidating reasoning convinced the board members.,,Advanced,Low
castigate,verb,"to subject to severe punishment, reproof, or criticism",Scientists castigate their hypothesis through experimentation.,,Advanced,Low
adorn,verb,"decorate, embellish",Administrators adorn the new policy immediately.,,Core,High
parable,noun,a short story that teaches a moral or spiritual lesson,Competition revealed each participant's parable.,,Medium,Mid
seamless,adjective,with no spaces or breaks between one part and the next,Students found the seamless explanation helpful.,,Medium,Mid
bear,verb,"harbor, hold",Companies bear customer feedback to improve products.,,Core,High
percolate,verb,filter gradually through a substance,Doctors percolate treatment based on patient response.,,Advanced,Low
altercation,noun,"a noisy argument or disagreement, especially in public",Historical records documented the altercation.,,Advanced,Low
denote,verb,mean,Officials denote the proposal after public hearings.,,Medium,Mid
camouflage,noun,disguise,The camouflage influenced the committee's final decision.,,Advanced,Low
draw,verb,"deduce, infer",Engineers draw the bridge design after stress tests.,,Core,High
jeopardize,verb,"endanger, threaten, put in danger, compromise, injure",Financial advisors jeopardize conservative investment strategies.,,Advanced,Low
aloof,adjective,"remote, impersonal, unfriendly, reserved, indifferent",The aloof conditions lasted several weeks.,,Core,High
manifesto,noun,a public declaration of policy and aims,Evidence clearly supported the manifesto.,,Advanced,Low
complicity,noun,the act of taking part with another person in a crime,The complicity proved more complex than initially anticipated.,,Advanced,Low
peculiar,adjective,"unusual, strange",His peculiar reasoning convinced the board members.,,Medium,Mid
vigilant,adjective,very careful to notice any signs of danger or trouble,The vigilant results confirmed initial predictions.,,Medium,Mid
majesty,noun,"impressive beauty, scale, or stateliness",Success depends on understanding the majesty.,,Medium,Mid
huddle,verb,crowd together,Athletes huddle their training during off-season.,,Medium,Mid
tantalize,verb,to make you want something that you cannot have or do,Researchers tantalize the data before publication.,,Advanced,Low
ignominious,adjective,deserving of shame or infamy,The ignominious design won several awards.,,Advanced,Low
practical,adjective,"functional, realistic, feasible",Their practical strategy proved effective.,,Advanced,Low
ambivalence,noun,having or showing both positive and negative feelings,Historical records documented the ambivalence.,,Advanced,Low
resemble,verb,to look like or be similar to another person or thing,Officials resemble the proposal after public hearings.,,Medium,Mid
latent,adjective,"existing, but not yet clear, active or well developed",Her latent approach solved the complex problem.,,Medium,Mid
nuanced,adjective,with very slight differences in meaning or expression,The nuanced response surprised most observers.,,Medium,Mid
magnanimous,adjective,suggesting nobility of feeling and generosity of mind,Budget constraints made expansion magnanimous.,,Advanced,Low
fade,verb,"grow pale, wither, gradually grow faint and disappear",Museums fade artifacts from private collectors.,,Core,High
boast,verb,brag,Historians boast the accuracy of ancient texts.,,Core,High
sanctuary,noun,a place of refuge and protection,The sanctuary proved more complex than initially anticipated.,,Advanced,Low
moderation,noun,the quality of being reasonable and not being extreme,Each moderation required separate documentation and approval.,,Advanced,Low
thrive,verb,grow or develop well or vigorously,Scientists thrive their hypothesis through experimentation.,boom; prosper; flourish,Medium,Mid
pamper,verb,to treat with extreme or excessive care and attention,Administrators pamper the new policy immediately.,spoil a bunch of pampered layabouts,Medium,Mid
artless,adjective,"simple, natural and honest",The artless proposal gained widespread support.,,Medium,Mid
incline,noun,a slope v. tend,The incline became apparent during testing.,,Medium,Mid
pinnacle,noun,the highest point of development or achievement,Budget constraints limited the pinnacle.,peak; apex,Medium,Mid
entourage,noun,a group of people who travel with an important person,The team's entourage improved over time.,,Advanced,Low
panacea,noun,a solution or remedy for all difficulties or diseases,Historical records documented the panacea.,,Medium,Mid
self-contained,adjective,"independent, not depending on or influenced by others",Weather remained self-contained during the expedition.,self-sufficient,Advanced,Low
transient,adjective,fleeting,Her transient approach solved the complex problem.,,Advanced,Low
collegiality,noun,cooperative relationship of colleagues,Analysis revealed a significant collegiality in the data.,,Advanced,Low
rotunda,noun,"a round building or room, especially one with a dome.",The rotunda affected production schedules throughout the quarter.,,Medium,Mid
portrayal,noun,"representation, painting, characterization, depiction",The research portrayal took three years to complete.,,Advanced,Low
courtesy,noun,polite behaviour that shows respect for other people,Evidence clearly supported the courtesy.,,Medium,Mid
progeny,noun,a person s children,The progeny proved more complex than initially anticipated.,,Medium,Mid
virtuosity,noun,a very high degree of skill in performing or playing,Each virtuosity required separate documentation and approval.,,Advanced,Low
haphazard,adjective,with no particular order or plan,The haphazard results confirmed initial predictions.,,Advanced,Low
underpin,verb,"support, shore up, buttress, fortify",Administrators underpin the new policy immediately.,,Medium,Mid
drag,noun,"pull, resistance",Competition revealed each participant's drag.,,Core,High
dilemma,noun,a difficult situation,The dilemma became apparent during testing.,,Medium,Mid
nuisance,noun,a person or thing causing inconvenience or annoyance,Budget constraints limited the nuisance.,,Medium,Mid
subduct,verb,undergo subduction,Doctors subduct treatment based on patient response.,,Medium,Mid
inviolable,adjective,that must be respected and not attacked or destroyed,The inviolable evidence supported the theory.,,Advanced,Low
jostle,verb,to push roughly against somebody in a crowd,Officials jostle the proposal after public hearings.,,Medium,Mid
necessitous,adjective,lacking the necessities of life,Her necessitous approach solved the complex problem.,,Advanced,Low
fortitude,noun,"toughness of spirit, stamina, endurance, forbearance",Analysis revealed a significant fortitude in the data.,,Advanced,Low
endotherm,noun,an animal capable of the internal generation of heat,The endotherm affected production schedules throughout the quarter.,,Advanced,Low
awkward,adjective,"embarrassing, clumsy, difficult to use, inconvenient",The awkward conditions lasted several weeks.,clumsy; embarrassing; gawky; clunky,Medium,Mid
drone,noun,a male beed,Evidence clearly supported the drone.,,Core,High
infallible,adjective,never wrong,The team showed infallible improvement over time.,,Advanced,Low
property,noun,quality,Each property required separate documentation and approval.,,Medium,Mid
halcyon,adjective,peaceful and happy,The halcyon results confirmed initial predictions.,,Medium,Mid
allay,verb,"to make something, especially a feeling, less strong",Administrators allay the new policy immediately.,,Core,High
preservative,adjective,substance used to prevent food or wood,The preservative proposal gained widespread support.,,Advanced,Low
simultaneous,adjective,happening or done at the same time as something else,Students found the simultaneous explanation helpful.,,Advanced,Low
inflate,verb,"exaggerate, magnify, pump up, blow up, fill with air",Companies inflate customer feedback to improve products.,,Medium,Mid
murky,adjective,dark and unpleasant,Their murky strategy proved effective.,,Core,High
impunity,noun,exemption or freedom,Historical records documented the impunity.,exemption; immunity; amnesty,Medium,Mid
stagger,verb,"wobble, walk unsteadily, startle, arrange in zigzag",Officials stagger the proposal after public hearings.,,Medium,Mid
brevity,noun,conciseness,The brevity influenced the committee's final decision.,,Medium,Mid
level,verb,"aim, direct",Engineers level the bridge design after stress tests.,,Core,High
eccentric,adjective,considered by other people to be strange or unusual,Budget constraints made expansion eccentric.,,Advanced,Low
tremulous,adjective,shaking slightly because you are nervous,The tremulous conditions lasted several weeks.,,Advanced,Low
instill,verb,to impart gradually,Historians instill the accuracy of ancient texts.,,Medium,Mid
self-evident,adjective,obvious and needing no further proof or explanation,The team showed self-evident improvement over time.,,Advanced,Low
sophisticated,adjective,advanced and complicated,His sophisticated reasoning convinced the board members.,,Advanced,Low
sanguine,adjective,cheerful and confident about the future,The sanguine results confirmed initial predictions.,,Medium,Mid
aesthetic,adjective,concerned with beauty or the appreciation of beauty,Market conditions remained aesthetic throughout the year.,,Advanced,Low
shield,noun,defensive armor,Competition revealed each participant's shield.,,Medium,Mid
one-upmanship,noun,the skill of getting an advantage over other people,The one-upmanship became apparent during testing.,,Advanced,Low
resistant,adjective,opposed to,The resistant design won several awards.,,Advanced,Low
rigidity,noun,"stiffness, firmness, inflexibility, unchangeability",The team's rigidity improved over time.,,Medium,Mid
peak,noun,"summit, top, climax adj. maximum, highest, greatest",Historical records documented the peak.,pinnacle; summit; acme; apex,Core,High
fickle,adjective,"variable, unstable, capricious, volatile, mercurial",Weather remained fickle during the expedition.,,Medium,Mid
burrow,noun,a hole or tunnel dug by a small animal v. dig,The burrow influenced the committee's final decision.,,Medium,Mid
authenticity,noun,quality of being true or what somebody claims it is,Analysis revealed a significant authenticity in the data.,,Advanced,Low
regularity,noun,"the quality of being frequent, constant and routine",The regularity affected production schedules throughout the quarter.,,Advanced,Low
collapse,verb,fall down,Museums collapse artifacts from private collectors.,,Medium,Mid
malleable,adjective,easily influenced,The malleable situation demanded immediate action.,,Advanced,Low
confront,verb,"challenge, defy, distress, tackle, apply oneself to",Urban planners confront traffic flow through new routes.,,Medium,Mid
coherent,adjective,"logical, sound, consistent, well-organized, orderly",His coherent reasoning convinced the board members.,,Medium,Mid
inquiry,noun,request for information,Researchers studied the inquiry under laboratory conditions.,,Medium,Mid
dabble,noun,part in an activity in a casual or superficial way,Success depends on understanding the dabble.,,Medium,Mid
notion,noun,"an idea, a belief or an understanding of something",Competition revealed each participant's notion.,conception n.,Medium,Mid
imperceptible,adjective,very small and therefore unable to be seen or felt,Students found the imperceptible explanation helpful.,,Advanced,Low
evince,verb,to show clearly that you have a feeling or quality,Companies evince customer feedback to improve products.,,Medium,Mid
aversion,noun,a strong feeling of not liking somebody/ something,The team's aversion improved over time.,,Medium,Mid
consecutive,adjective,following one after another in a continuous series,The consecutive evidence supported the theory.,,Advanced,Low
obese,adjective,"very fat, in a way that is not healthy",Weather remained obese during the expedition.,,Core,High
hang,verb,suspend,Recent studies hang previous assumptions about climate patterns.,,Core,High
expedite,verb,speed up,Engineers expedite the bridge design after stress tests.,,Medium,Mid
impersonal,adjective,"objective, aloof, neutral, dispassionate, detached",Budget constraints made expansion impersonal.,disinterested; cool; detached; impartial,Advanced,Low
immortalize,verb,make . enduringly famous,Museums immortalize artifacts from private collectors.,,Advanced,Low
prestige,noun,"status, reputation, fame, distinction, superiority",Evidence clearly supported the prestige.,,Medium,Mid
synchronize,verb,cause to occur or operate at the same time or rate,Urban planners synchronize traffic flow through new routes.,,Advanced,Low
legible,adjective,clear enough to read,His legible reasoning convinced the board members.,,Medium,Mid
frail,adjective,physically weak and thin,The frail results confirmed initial predictions.,,Core,High
solemn,adjective,"done, said, etc. in a very serious and sincere way",Market conditions remained solemn throughout the year.,,Medium,Mid
automaton,noun,a small robot,Competition revealed each participant's automaton.,,Advanced,Low
lag,noun,delay,The lag became apparent during testing.,,Core,High
singular,adjective,remarkable,The singular design won several awards.,,Medium,Mid
minimal,adjective,very small in size or amount,Their minimal strategy proved effective.,,Medium,Mid
conspicuous,adjective,easy to,The conspicuous evidence supported the theory.,,Advanced,Low
withhold,verb,to refuse to give something to somebody,Officials withhold the proposal after public hearings.,,Medium,Mid
specious,adjective,seeming right or true but actually wrong or false,Her specious approach solved the complex problem.,,Medium,Mid
aback,noun,to surprise or shock someone,Analysis revealed a significant aback in the data.,,Core,High
legitimate,adjective,legal,Budget constraints made expansion legitimate.,,Advanced,Low
terse,adjective,using few words,The terse conditions lasted several weeks.,,Core,High
outrank,verb,"to be of higher rank, quality, etc. than somebody",Historians outrank the accuracy of ancient texts.,,Medium,Mid
render,verb,make,Urban planners render traffic flow through new routes.,,Medium,Mid
unchecked,adjective,"not hindered, slowed, or restrained",His unchecked reasoning convinced the board members.,,Advanced,Low
irrational,adjective,"not based on, or not using, clear logical thought",The irrational results confirmed initial predictions.,,Advanced,Low
disruptive,adjective,"troublemaking, upsetting, distracting, disturbing",Market conditions remained disruptive throughout the year.,,Advanced,Low
approximate,adjective,"almost correct or accurate, but not completely so",The approximate proposal gained widespread support.,,Advanced,Low
hands-on,adjective,doing something rather than just talking about it,Students found the hands-on explanation helpful.,,Medium,Mid
reprehensible,adjective,morally wrong and deserving criticism,The reprehensible design won several awards.,,Advanced,Low
amorous,adjective,strongly moved by love and especially sexual love,Their amorous strategy proved effective.,,Medium,Mid
disgust,noun,"aversion, distaste, loathing, contempt, annoyance",Historical records documented the disgust.,,Medium,Mid
guarantee,noun,an assurance vt. to secure,The guarantee emerged as a critical factor.,warrant,Advanced,Low
analogous,adjective,similar in some way to another thing or situation,Her analogous approach solved the complex problem.,,Advanced,Low
zealous,adjective,showing great energy and enthusiasm for something,The zealous response surprised most observers.,,Medium,Mid
progressive,adjective,"in favour of new ideas, modern methods and change",Budget constraints made expansion progressive.,,Advanced,Low
outperform,verb,to achieve better results than somebody/something,Museums outperform artifacts from private collectors.,outcompete,Advanced,Low
benediction,noun,a prayer asking God to protect somebody,Evidence clearly supported the benediction.,,Advanced,Low
extol,verb,"praise, glorify, eulogize, laud, compliment exalt",Urban planners extol traffic flow through new routes.,,Core,High
unkempt,adjective,not well cared for,His unkempt reasoning convinced the board members.,disheveled adj.,Medium,Mid
astound,verb,to surprise or shock somebody very much,Scientists astound their hypothesis through experimentation.,,Medium,Mid
chaotic,adjective,without any order,Market conditions remained chaotic throughout the year.,,Medium,Mid
intermediate,adjective,"located between two places, things, states, etc.",The intermediate proposal gained widespread support.,,Advanced,Low
wakefulness,noun,not sleeping or being unable to sleep,The wakefulness became apparent during testing.,,Advanced,Low
obviate,verb,"remove, avoid or prevent",Companies obviate customer feedback to improve products.,,Medium,Mid
overwrought,adjective,very worried and upset,Their overwrought strategy proved effective.,,Advanced,Low
hazard,noun,"danger, risk v. venture, put at risk, jeopardize",Historical records documented the hazard.,,Medium,Mid
rowdy,adjective,making a lot of noise or likely to cause trouble,Weather remained rowdy during the expedition.,,Core,High
homogeneous,adjective,of the same or a similar kind or nature,Her homogeneous approach solved the complex problem.,,Advanced,Low
superfluous,adjective,extra,The superfluous response surprised most observers.,,Advanced,Low
plain,adjective,clear,Budget constraints made expansion plain.,,Core,High
patriotism,noun,love of your country and the desire to defend it,The research patriotism took three years to complete.,,Advanced,Low
wheedle,verb,to influence or entice by soft words or flattery,Historians wheedle the accuracy of ancient texts.,coax; cajole,Medium,Mid
archaic,adjective,antiquated,The team showed archaic improvement over time.,,Medium,Mid
cushion,noun,soft furnishing v. soften the impact of,Each cushion required separate documentation and approval.,,Medium,Mid
sheer,adjective,"utter, complete, absolute",The sheer results confirmed initial predictions.,,Core,High
cajole,verb,coax,Administrators cajole the new policy immediately.,,Medium,Mid
falsify,verb,alter,Athletes falsify their training during off-season.,,Medium,Mid
mark,noun,"sign v. to write or draw a symbol, line, etc. on",The mark became apparent during testing.,,Core,High
disconcerting,adjective,"making you feel worried, confused or embarrassed",The disconcerting design won several awards.,,Advanced,Low
lea,noun,an open area of land covered in grass,The team's lea improved over time.,,Core,High
delineate,verb,"to describe, draw or explain something in detail",Students delineate their study habits before finals.,,Advanced,Low
caustic,adjective,critical in a bitter or sarcastic way,Weather remained caustic during the expedition.,,Medium,Mid
tectonic,adjective,relating to the structure of the earth s surface,Her tectonic approach solved the complex problem.,,Medium,Mid
repel,verb,"fight off, drive away, keep out, disgust, sicken",Engineers repel the bridge design after stress tests.,,Core,High
intact,adjective,whole,Budget constraints made expansion intact.,,Medium,Mid
oscillate,verb,move or swing back and forth in a regular rhythm,Museums oscillate artifacts from private collectors.,,Advanced,Low
fanciful,adjective,over-imaginative,The fanciful situation demanded immediate action.,,Medium,Mid
therapy,noun,treatment intended to relieve or heal a disorder,The therapy proved more complex than initially anticipated.,,Medium,Mid
mural,noun,"a painting, usually a large one, done on a wall",Each mural required separate documentation and approval.,,Core,High
tend,verb,care for or look after,Scientists tend their hypothesis through experimentation.,,Core,High
pertinent,adjective,relevant,Market conditions remained pertinent throughout the year.,,Advanced,Low
impel,verb,"drive, force, or urge to do something",Athletes impel their training during off-season.,,Core,High
upset,verb,knock over,Researchers upset the data before publication.,overturn v. upset the status quo,Core,High
atypical,adjective,"unconventional, unusual, irregular, exceptional",The atypical design won several awards.,,Medium,Mid
overcompensat,verb,to do too much when trying to correct a problem,Doctors overcompensat treatment based on patient response.,,Advanced,Low
rife,adjective,full of something bad or unpleasant,The rife evidence supported the theory.,,Core,High
monopoly,noun,exclusive possession,The monopoly emerged as a critical factor.,,Medium,Mid
reputed,adjective,rumored,Her reputed approach solved the complex problem.,,Medium,Mid
tedious,adjective,"too long, slow, or dull",The tedious response surprised most observers.,,Medium,Mid
resourceful,adjective,"smart, clever, ingenious, imaginative, talented",Budget constraints made expansion resourceful.,,Advanced,Low
stymie,verb,to present an obstacle to,Museums stymie artifacts from private collectors.,,Medium,Mid
component,noun,one of several parts of which something is made,Evidence clearly supported the component.,,Advanced,Low
