Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
omnipotent,adjective,having virtually unlimited authority or influence,Her omnipotent approach engaged students.,,Advanced,Low
conviction,noun,"belief, faith",The conviction influenced voter turnout.,,Advanced,Low
languish,verb,lose vitality,She learned to languish her daily routine.,,Medium,Mid
close,noun,sell goods very cheaply in order to get rid of them quickly,This close represents a breakthrough in computing.,,Core,High
imposing,adjective,grand and impressive in appearance,The imposing landscape attracted tourists.,,Medium,Mid
arduous,adjective,requiring great effort,Critics praised the arduous performance.,laborious; strenuous; onerous,Medium,Mid
foliage,noun,the leaves of a tree or plant,The team's foliage determined the championship outcome.,,Medium,Mid
striking,adjective,interesting and unusual enough to attract attention,The striking artifact revealed ancient practices.,,Medium,Mid
onomatopoeia,noun,words containing sounds similar to the noises they describe,Understanding the onomatopoeia helps improve patient care.,,Advanced,Low
radical,adjective,desperate,The radical proposal impressed investors.,,Medium,Mid
oblige,verb,"compel, constrain, require, put under an obligation",Researchers oblige the hypothesis through experimentation.,,Medium,Mid
ostentatious,adjective,showy,Her ostentatious approach engaged students.,,Advanced,Low
cyclical,adjective,repeated many times and always happening in the same order,The cyclical policy gained bipartisan support.,,Medium,Mid
apprehensive,adjective,worried or frightened that something unpleasant may happen,His apprehensive attitude made him popular.,,Advanced,Low
sarcastic,adjective,"ironic, satirical, scornful, derisive, mocking, ridiculing",The sarcastic design won industry awards.,,Advanced,Low
conform,noun,"to obey a rule, law, etc. to agree with or match something",The conform is essential for ecosystem balance.,,Medium,Mid
utopia,noun,an imaginary place or state in which everything is perfect,The utopia inspired a new artistic movement.,,Medium,Mid
paucity,noun,a small amount of something,The team's paucity determined the championship outcome.,,Medium,Mid
compatible,adjective,well-suited,The compatible artifact revealed ancient practices.,,Advanced,Low
intermittent,adjective,occurring at irregular intervals,The intermittent symptoms indicated a rare condition.,,Advanced,Low
fault,noun,shortcoming,The fault affected quarterly earnings.,,Core,High
bank,verb,to travel with one side higher than the other when turning,Researchers bank the hypothesis through experimentation.,,Core,High
mirth,noun,"happiness, fun and the sound of people laughing",The mirth plays a crucial role in student development.,,Core,High
lineage,noun,the series of families that somebody comes,The lineage influenced voter turnout.,,Medium,Mid
come,noun,admit and explain something that you have kept as a secret,The come made everyday tasks easier.,,Core,High
investigative,adjective,of or concerned with investigating or inspecting something,The investigative design won industry awards.,,Advanced,Low
tenable,adjective,"capable of being held, maintained, or defended",The tenable landscape attracted tourists.,,Medium,Mid
accommodate,verb,"adjust, adapt, fit in with",The artist chose to accommodate traditional techniques.,,Advanced,Low
sterile,adjective,"germ-free, sterilized",The team's sterile strategy secured victory.,,Medium,Mid
associative,adjective,relating to the association of ideas or things,The associative artifact revealed ancient practices.,,Advanced,Low
dramatize,verb,present vividly,Doctors dramatize treatment based on test results.,,Advanced,Low
impious,adjective,showing a lack of respect for God and religion,The impious proposal impressed investors.,irreligious; irreverent; disrespectful,Medium,Mid
unsavory,adjective,unpleasant or offensive,The unsavory results confirmed the theory.,,Medium,Mid
imbibe,verb,absorb or assimilate,Teachers imbibe student progress throughout the semester.,,Medium,Mid
incorporate,verb,take in or contain as part of a whole,The senator will incorporate the proposed legislation.,,Advanced,Low
intrepid,adjective,fearless,His intrepid attitude made him popular.,,Medium,Mid
faint,adjective,weak,The faint design won industry awards.,,Core,High
prominence,noun,"the state of being important, well known or easy to notice",The prominence is essential for ecosystem balance.,,Advanced,Low
vindicate,verb,justify,The artist chose to vindicate traditional techniques.,,Advanced,Low
appalled,adjective,horrified,The team's appalled strategy secured victory.,,Medium,Mid
take,noun,start disagreeing or arguing with somebody about something,The take marked a turning point in civilization.,,Core,High
imperturbable,adjective,not easily upset or worried by a difficult situation,The imperturbable symptoms indicated a rare condition.,,Advanced,Low
foist,verb,to force another to accept especially by stealth or deceit,The company decided to foist its expansion plans.,impose; inflict,Core,High
materialistic,adjective,caring more about money and possessions than anything else,The materialistic results confirmed the theory.,,Advanced,Low
unanimity,noun,complete agreement about something among a group of people,The unanimity plays a crucial role in student development.,,Advanced,Low
empathy,noun,"sympathy, understanding, identification, affinity, rapport",The empathy influenced voter turnout.,,Medium,Mid
commonplace,adjective,not unusual,His commonplace attitude made him popular.,,Advanced,Low
botanist,noun,an expert in or student of the scientific study of plants,This botanist represents a breakthrough in computing.,,Medium,Mid
underscore,verb,to emphasize,Animals underscore when environmental conditions change.,emphasize; stress; accentuate; highlight,Advanced,Low
yield,noun,production,The yield inspired a new artistic movement.,,Core,High
anguish,noun,"severe physical or mental pain, difficulty or unhappiness",The team's anguish determined the championship outcome.,,Medium,Mid
abundant,adjective,existing in large quantities,The abundant artifact revealed ancient practices.,,Medium,Mid
devastating,adjective,disastrous,The devastating symptoms indicated a rare condition.,,Advanced,Low
hatchling,noun,a baby bird or animal that has just come out of its shell,The hatchling affected quarterly earnings.,,Advanced,Low
curtail,verb,to make less by or as if by cutting off or away some part,Researchers curtail the hypothesis through experimentation.,,Medium,Mid
dulcet,adjective,sounding sweet and pleasant,Her dulcet approach engaged students.,,Medium,Mid
remiss,adjective,not giving something enough care and attention,The remiss policy gained bipartisan support.,,Medium,Mid
demise,noun,death,The demise made everyday tasks easier.,,Medium,Mid
convention,noun,"custom, accepted practice",This convention represents a breakthrough in computing.,,Advanced,Low
mean,adjective,"lowly, malicious, miserly, ungenerous, average n. average",The mean landscape attracted tourists.,,Core,High
reservation,noun,"booking, prearrangement",The reservation inspired a new artistic movement.,,Advanced,Low
malicious,adjective,intending to do harm,The team's malicious strategy secured victory.,,Advanced,Low
tenure,noun,the holding of an office,The tenure marked a turning point in civilization.,,Medium,Mid
trial,noun,"test, experiment",Understanding the trial helps improve patient care.,,Core,High
aggrieved,adjective,distressed,The aggrieved proposal impressed investors.,,Advanced,Low
uneventful,adjective,"in which nothing interesting, unusual or exciting happens",The uneventful results confirmed the theory.,,Advanced,Low
universal,adjective,"general, applicable in all cases",Her universal approach engaged students.,,Advanced,Low
alliteration,noun,use of the same letter or sound at the beginning of words,The alliteration influenced voter turnout.,,Advanced,Low
overreact,verb,"to react too strongly, especially to something unpleasant",She learned to overreact her daily routine.,,Advanced,Low
skirt,verb,avoid,Engineers skirt the system for optimal performance.,,Core,High
dreary,adjective,that makes you feel sad,The dreary landscape attracted tourists.,dull; bleak; lifeless; depressing,Medium,Mid
precipitate,verb,quicken,The artist chose to precipitate traditional techniques.,,Advanced,Low
insinuate,verb,to impart or suggest in an artful or indirect way,Athletes must insinuate their training intensity.,,Advanced,Low
ameliorate,verb,to make better something that was bad or not good enough,Historians ameliorate primary sources for accuracy.,,Advanced,Low
exclude,verb,deny access to,Doctors exclude treatment based on test results.,,Medium,Mid
quirk,noun,a peculiar trait,The quirk affected quarterly earnings.,,Core,High
duplication,noun,making an exact copy of something,Scientists studied the duplication under controlled conditions.,,Advanced,Low
attenuated,adjective,lessened or weakened,Her attenuated approach engaged students.,,Advanced,Low
mask,verb,hide,The senator will mask the proposed legislation.,,Core,High
by,noun,"largely, mostly, mainly, to a large extent, on the whole",The by made everyday tasks easier.,,Core,High
abortive,adjective,unsuccessful,The abortive design won industry awards.,,Medium,Mid
lukewarm,adjective,slightly warm,The lukewarm landscape attracted tourists.,,Medium,Mid
taut,adjective,stretched tightly,Critics praised the taut performance.,tight; tense,Core,High
suspicious,adjective,"distrustful, doubtful, disputable, questionable, dubious",The team's suspicious strategy secured victory.,,Advanced,Low
mitigate,verb,alleviate,Historians mitigate primary sources for accuracy.,,Medium,Mid
tolerant,adjective,broad-minded,The tolerant symptoms indicated a rare condition.,,Medium,Mid
read,verb,"peruse, study, scrutinize",The company decided to read its expansion plans.,,Core,High
absorbed,adjective,having one's attention fully engaged,The absorbed results confirmed the theory.,,Medium,Mid
ill-advised,adjective,not sensible,Her ill-advised approach engaged students.,,Advanced,Low
antithesis,noun,the opposite of something,The antithesis influenced voter turnout.,,Advanced,Low
indecipherable,adjective,impossible to read or understand,His indecipherable attitude made him popular.,,Advanced,Low
bias,noun,prejudice,This bias represents a breakthrough in computing.,partiality (); prejudice,Core,High
degrade,verb,break down,Animals degrade when environmental conditions change.,,Medium,Mid
deciduous,adjective,that loses its leaves every year,Critics praised the deciduous performance.,,Advanced,Low
subterranean,adjective,being under the surface of the earth,The team's subterranean strategy secured victory.,,Advanced,Low
regrettable,adjective,being sorry and wishing that something had not happened,The regrettable artifact revealed ancient practices.,,Advanced,Low
unpretentious,adjective,modest,The unpretentious symptoms indicated a rare condition.,,Advanced,Low
belonging,noun,possessions,The belonging affected quarterly earnings.,,Advanced,Low
barren,adjective,unproductive,The barren results confirmed the theory.,,Medium,Mid
elusive,adjective,"difficult to find, catch, or achieve",Her elusive approach engaged students.,,Medium,Mid
discipline,noun,field of study,The discipline influenced voter turnout.,,Advanced,Low
malevolent,adjective,malicious,His malevolent attitude made him popular.,,Advanced,Low
jubilant,adjective,feeling or showing great happiness because of a success,The jubilant design won industry awards.,,Medium,Mid
gaudy,adjective,garish,The gaudy landscape attracted tourists.,garish (; ),Core,High
constrained,adjective,not natural,Critics praised the constrained performance.,,Advanced,Low
disproportionat,adjective,relatively too large or too small,The team's disproportionat strategy secured victory.,,Advanced,Low
shore,noun,help to support something that is weak or going to fail,The shore marked a turning point in civilization.,,Core,High
devise,verb,to invent something new or a new way of doing something,Doctors devise treatment based on test results.,,Medium,Mid
communicate,verb,convey,The company decided to communicate its expansion plans.,,Advanced,Low
incessant,adjective,continuing or following without interruption,The incessant results confirmed the theory.,,Advanced,Low
receptive,adjective,willing to consider or accept new suggestions and ideas,Her receptive approach engaged students.,,Advanced,Low
unprecedented,adjective,"that has never happened, been done or been known before",The unprecedented policy gained bipartisan support.,,Advanced,Low
prime,verb,"prepare, make ready",She learned to prime her daily routine.,,Core,High
verisimilitude,noun,the quality of seeming to be true or real,This verisimilitude represents a breakthrough in computing.,,Advanced,Low
block,noun,chunk,The block is essential for ecosystem balance.,,Core,High
nature,noun,essential quality,The nature inspired a new artistic movement.,,Medium,Mid
foment,verb,incite,Athletes must foment their training intensity.,instigate; incite; provoke; stir up,Medium,Mid
exceptional,adjective,better than average,The exceptional artifact revealed ancient practices.,,Advanced,Low
humanitarian,adjective,"humane, compassionate, benevolent, civilized, merciful",The humanitarian symptoms indicated a rare condition.,,Advanced,Low
heterogeneous,adjective,consisting of many different kinds of people or things,The heterogeneous proposal impressed investors.,,Advanced,Low
improvise,verb,create or perform spontaneously or without preparation,Researchers improvise the hypothesis through experimentation.,,Advanced,Low
embody,verb,"symbolize, give tangible form to",Teachers embody student progress throughout the semester.,,Medium,Mid
relish,verb,enjoy greatly n. great enjoyment,The senator will relish the proposed legislation.,,Medium,Mid
disparate,adjective,essentially different in kind,His disparate attitude made him popular.,,Advanced,Low
intimidating,adjective,"having a frightening, overawing, or threatening effect",The intimidating design won industry awards.,,Advanced,Low
castigate,verb,"to subject to severe punishment, reproof, or criticism",Animals castigate when environmental conditions change.,,Advanced,Low
adorn,verb,"decorate, embellish",The artist chose to adorn traditional techniques.,,Core,High
parable,noun,a short story that teaches a moral or spiritual lesson,The team's parable determined the championship outcome.,,Medium,Mid
seamless,adjective,with no spaces or breaks between one part and the next,The seamless artifact revealed ancient practices.,,Medium,Mid
bear,verb,"harbor, hold",Doctors bear treatment based on test results.,,Core,High
percolate,verb,filter gradually through a substance,The company decided to percolate its expansion plans.,,Advanced,Low
altercation,noun,"a noisy argument or disagreement, especially in public",Scientists studied the altercation under controlled conditions.,,Advanced,Low
denote,verb,mean,Teachers denote student progress throughout the semester.,,Medium,Mid
camouflage,noun,disguise,The camouflage influenced voter turnout.,,Advanced,Low
draw,verb,"deduce, infer",She learned to draw her daily routine.,,Core,High
jeopardize,verb,"endanger, threaten, put in danger, compromise, injure",Engineers jeopardize the system for optimal performance.,,Advanced,Low
aloof,adjective,"remote, impersonal, unfriendly, reserved, indifferent",The aloof landscape attracted tourists.,,Core,High
manifesto,noun,a public declaration of policy and aims,The manifesto inspired a new artistic movement.,,Advanced,Low
complicity,noun,the act of taking part with another person in a crime,The team's complicity determined the championship outcome.,,Advanced,Low
peculiar,adjective,"unusual, strange",The peculiar artifact revealed ancient practices.,,Medium,Mid
vigilant,adjective,very careful to notice any signs of danger or trouble,The vigilant symptoms indicated a rare condition.,,Medium,Mid
majesty,noun,"impressive beauty, scale, or stateliness",The majesty affected quarterly earnings.,,Medium,Mid
huddle,verb,crowd together,Researchers huddle the hypothesis through experimentation.,,Medium,Mid
tantalize,verb,to make you want something that you cannot have or do,Teachers tantalize student progress throughout the semester.,,Advanced,Low
ignominious,adjective,deserving of shame or infamy,The ignominious policy gained bipartisan support.,,Advanced,Low
practical,adjective,"functional, realistic, feasible",His practical attitude made him popular.,,Advanced,Low
ambivalence,noun,having or showing both positive and negative feelings,This ambivalence represents a breakthrough in computing.,,Advanced,Low
resemble,verb,to look like or be similar to another person or thing,Animals resemble when environmental conditions change.,,Medium,Mid
latent,adjective,"existing, but not yet clear, active or well developed",Critics praised the latent performance.,,Medium,Mid
nuanced,adjective,with very slight differences in meaning or expression,The team's nuanced strategy secured victory.,,Medium,Mid
magnanimous,adjective,suggesting nobility of feeling and generosity of mind,The magnanimous artifact revealed ancient practices.,,Advanced,Low
fade,verb,"grow pale, wither, gradually grow faint and disappear",Doctors fade treatment based on test results.,,Core,High
boast,verb,brag,The company decided to boast its expansion plans.,,Core,High
sanctuary,noun,a place of refuge and protection,Scientists studied the sanctuary under controlled conditions.,,Advanced,Low
moderation,noun,the quality of being reasonable and not being extreme,The moderation plays a crucial role in student development.,,Advanced,Low
thrive,verb,grow or develop well or vigorously,The senator will thrive the proposed legislation.,boom; prosper; flourish,Medium,Mid
pamper,verb,to treat with extreme or excessive care and attention,She learned to pamper her daily routine.,spoil a bunch of pampered layabouts,Medium,Mid
artless,adjective,"simple, natural and honest",The artless design won industry awards.,,Medium,Mid
incline,noun,a slope v. tend,The incline is essential for ecosystem balance.,,Medium,Mid
pinnacle,noun,the highest point of development or achievement,The pinnacle inspired a new artistic movement.,peak; apex,Medium,Mid
entourage,noun,a group of people who travel with an important person,The team's entourage determined the championship outcome.,,Advanced,Low
panacea,noun,a solution or remedy for all difficulties or diseases,The panacea marked a turning point in civilization.,,Medium,Mid
self-contained,adjective,"independent, not depending on or influenced by others",The self-contained symptoms indicated a rare condition.,self-sufficient,Advanced,Low
transient,adjective,fleeting,The transient proposal impressed investors.,,Advanced,Low
collegiality,noun,cooperative relationship of colleagues,Scientists studied the collegiality under controlled conditions.,,Advanced,Low
rotunda,noun,"a round building or room, especially one with a dome.",The rotunda plays a crucial role in student development.,,Medium,Mid
portrayal,noun,"representation, painting, characterization, depiction",The portrayal influenced voter turnout.,,Advanced,Low
courtesy,noun,polite behaviour that shows respect for other people,The courtesy made everyday tasks easier.,,Medium,Mid
progeny,noun,a person s children,This progeny represents a breakthrough in computing.,,Medium,Mid
virtuosity,noun,a very high degree of skill in performing or playing,The virtuosity is essential for ecosystem balance.,,Advanced,Low
haphazard,adjective,with no particular order or plan,Critics praised the haphazard performance.,,Advanced,Low
underpin,verb,"support, shore up, buttress, fortify",Athletes must underpin their training intensity.,,Medium,Mid
drag,noun,"pull, resistance",The drag marked a turning point in civilization.,,Core,High
dilemma,noun,a difficult situation,Understanding the dilemma helps improve patient care.,,Medium,Mid
nuisance,noun,a person or thing causing inconvenience or annoyance,The nuisance affected quarterly earnings.,,Medium,Mid
subduct,verb,undergo subduction,Researchers subduct the hypothesis through experimentation.,,Medium,Mid
inviolable,adjective,that must be respected and not attacked or destroyed,Her inviolable approach engaged students.,,Advanced,Low
jostle,verb,to push roughly against somebody in a crowd,The senator will jostle the proposed legislation.,,Medium,Mid
necessitous,adjective,lacking the necessities of life,His necessitous attitude made him popular.,,Advanced,Low
fortitude,noun,"toughness of spirit, stamina, endurance, forbearance",This fortitude represents a breakthrough in computing.,,Advanced,Low
endotherm,noun,an animal capable of the internal generation of heat,The endotherm is essential for ecosystem balance.,,Advanced,Low
awkward,adjective,"embarrassing, clumsy, difficult to use, inconvenient",Critics praised the awkward performance.,clumsy; embarrassing; gawky; clunky,Medium,Mid
drone,noun,a male beed,The team's drone determined the championship outcome.,,Core,High
infallible,adjective,never wrong,The infallible artifact revealed ancient practices.,,Advanced,Low
property,noun,quality,Understanding the property helps improve patient care.,,Medium,Mid
halcyon,adjective,peaceful and happy,The halcyon proposal impressed investors.,,Medium,Mid
allay,verb,"to make something, especially a feeling, less strong",Researchers allay the hypothesis through experimentation.,,Core,High
preservative,adjective,substance used to prevent food or wood,Her preservative approach engaged students.,,Advanced,Low
simultaneous,adjective,happening or done at the same time as something else,The simultaneous policy gained bipartisan support.,,Advanced,Low
inflate,verb,"exaggerate, magnify, pump up, blow up, fill with air",She learned to inflate her daily routine.,,Medium,Mid
murky,adjective,dark and unpleasant,The murky design won industry awards.,,Core,High
impunity,noun,exemption or freedom,The impunity is essential for ecosystem balance.,exemption; immunity; amnesty,Medium,Mid
stagger,verb,"wobble, walk unsteadily, startle, arrange in zigzag",The artist chose to stagger traditional techniques.,,Medium,Mid
brevity,noun,conciseness,The team's brevity determined the championship outcome.,,Medium,Mid
level,verb,"aim, direct",Historians level primary sources for accuracy.,,Core,High
eccentric,adjective,considered by other people to be strange or unusual,The eccentric symptoms indicated a rare condition.,,Advanced,Low
tremulous,adjective,shaking slightly because you are nervous,The tremulous proposal impressed investors.,,Advanced,Low
instill,verb,to impart gradually,Researchers instill the hypothesis through experimentation.,,Medium,Mid
self-evident,adjective,obvious and needing no further proof or explanation,Her self-evident approach engaged students.,,Advanced,Low
sophisticated,adjective,advanced and complicated,The sophisticated policy gained bipartisan support.,,Advanced,Low
sanguine,adjective,"optimistic or positive, especially in a difficult situation","Despite the setback, she remained sanguine about the project's success.",,Medium,Mid
aesthetic,adjective,concerned with beauty or the appreciation of beauty,The aesthetic design won industry awards.,,Advanced,Low
shield,noun,defensive armor,The shield is essential for ecosystem balance.,,Medium,Mid
one-upmanship,noun,the skill of getting an advantage over other people,The one-upmanship inspired a new artistic movement.,,Advanced,Low
resistant,adjective,opposed to,The team's resistant strategy secured victory.,,Advanced,Low
rigidity,noun,"stiffness, firmness, inflexibility, unchangeability",The rigidity marked a turning point in civilization.,,Medium,Mid
peak,noun,"summit, top, climax adj. maximum, highest, greatest",Understanding the peak helps improve patient care.,pinnacle; summit; acme; apex,Core,High
fickle,adjective,"variable, unstable, capricious, volatile, mercurial",The fickle proposal impressed investors.,,Medium,Mid
burrow,noun,a hole or tunnel dug by a small animal v. dig,Scientists studied the burrow under controlled conditions.,,Medium,Mid
authenticity,noun,quality of being true or what somebody claims it is,The authenticity plays a crucial role in student development.,,Advanced,Low
regularity,noun,"the quality of being frequent, constant and routine",The regularity influenced voter turnout.,,Advanced,Low
collapse,verb,fall down,She learned to collapse her daily routine.,,Medium,Mid
malleable,adjective,easily influenced,The malleable design won industry awards.,,Advanced,Low
confront,verb,"challenge, defy, distress, tackle, apply oneself to",Animals confront when environmental conditions change.,,Medium,Mid
coherent,adjective,"logical, sound, consistent, well-organized, orderly",Critics praised the coherent performance.,,Medium,Mid
inquiry,noun,request for information,The team's inquiry determined the championship outcome.,,Medium,Mid
dabble,noun,part in an activity in a casual or superficial way,The dabble marked a turning point in civilization.,,Medium,Mid
notion,noun,"an idea, a belief or an understanding of something",Understanding the notion helps improve patient care.,conception n.,Medium,Mid
imperceptible,adjective,very small and therefore unable to be seen or felt,The imperceptible proposal impressed investors.,,Advanced,Low
evince,verb,to show clearly that you have a feeling or quality,Researchers evince the hypothesis through experimentation.,,Medium,Mid
aversion,noun,a strong feeling of not liking somebody/ something,The aversion plays a crucial role in student development.,,Medium,Mid
consecutive,adjective,following one after another in a continuous series,The consecutive policy gained bipartisan support.,,Advanced,Low
obese,adjective,"very fat, in a way that is not healthy",His obese attitude made him popular.,,Core,High
hang,verb,suspend,Engineers hang the system for optimal performance.,,Core,High
expedite,verb,speed up,Animals expedite when environmental conditions change.,,Medium,Mid
impersonal,adjective,"objective, aloof, neutral, dispassionate, detached",Critics praised the impersonal performance.,disinterested; cool; detached; impartial,Advanced,Low
immortalize,verb,make . enduringly famous,Athletes must immortalize their training intensity.,,Advanced,Low
prestige,noun,"status, reputation, fame, distinction, superiority",The prestige marked a turning point in civilization.,,Medium,Mid
synchronize,verb,cause to occur or operate at the same time or rate,Doctors synchronize treatment based on test results.,,Advanced,Low
legible,adjective,clear enough to read,The legible proposal impressed investors.,,Medium,Mid
frail,adjective,physically weak and thin,The frail results confirmed the theory.,,Core,High
solemn,adjective,"done, said, etc. in a very serious and sincere way",Her solemn approach engaged students.,,Medium,Mid
automaton,noun,a small robot,The automaton influenced voter turnout.,,Advanced,Low
lag,noun,delay,The lag made everyday tasks easier.,,Core,High
singular,adjective,remarkable,The singular design won industry awards.,,Medium,Mid
minimal,adjective,very small in size or amount,The minimal landscape attracted tourists.,,Medium,Mid
conspicuous,adjective,easy to,Critics praised the conspicuous performance.,,Advanced,Low
withhold,verb,to refuse to give something to somebody,Athletes must withhold their training intensity.,,Medium,Mid
specious,adjective,seeming right or true but actually wrong or false,The specious artifact revealed ancient practices.,,Medium,Mid
aback,noun,to surprise or shock someone,Understanding the aback helps improve patient care.,,Core,High
legitimate,adjective,legal,The legitimate proposal impressed investors.,,Advanced,Low
terse,adjective,using few words,The terse results confirmed the theory.,,Core,High
outrank,verb,"to be of higher rank, quality, etc. than somebody",Teachers outrank student progress throughout the semester.,,Medium,Mid
render,verb,make,The senator will render the proposed legislation.,,Medium,Mid
unchecked,adjective,"not hindered, slowed, or restrained",His unchecked attitude made him popular.,,Advanced,Low
irrational,adjective,"not based on, or not using, clear logical thought",The irrational design won industry awards.,,Advanced,Low
disruptive,adjective,"troublemaking, upsetting, distracting, disturbing",The disruptive landscape attracted tourists.,,Advanced,Low
approximate,adjective,"almost correct or accurate, but not completely so",Critics praised the approximate performance.,,Advanced,Low
hands-on,adjective,doing something rather than just talking about it,The team's hands-on strategy secured victory.,,Medium,Mid
reprehensible,adjective,morally wrong and deserving criticism,The reprehensible artifact revealed ancient practices.,,Advanced,Low
amorous,adjective,strongly moved by love and especially sexual love,The amorous symptoms indicated a rare condition.,,Medium,Mid
disgust,noun,"aversion, distaste, loathing, contempt, annoyance",The disgust affected quarterly earnings.,,Medium,Mid
guarantee,noun,an assurance vt. to secure,Scientists studied the guarantee under controlled conditions.,warrant,Advanced,Low
analogous,adjective,similar in some way to another thing or situation,Her analogous approach engaged students.,,Advanced,Low
zealous,adjective,showing great energy and enthusiasm for something,The zealous policy gained bipartisan support.,,Medium,Mid
progressive,adjective,"in favour of new ideas, modern methods and change",His progressive attitude made him popular.,,Advanced,Low
outperform,verb,to achieve better results than somebody/something,Engineers outperform the system for optimal performance.,outcompete,Advanced,Low
benediction,noun,a prayer asking God to protect somebody,The benediction is essential for ecosystem balance.,,Advanced,Low
extol,verb,"praise, glorify, eulogize, laud, compliment exalt",The artist chose to extol traditional techniques.,,Core,High
unkempt,adjective,not well cared for,The team's unkempt strategy secured victory.,disheveled adj.,Medium,Mid
astound,verb,to surprise or shock somebody very much,Historians astound primary sources for accuracy.,,Medium,Mid
chaotic,adjective,without any order,The chaotic symptoms indicated a rare condition.,,Medium,Mid
intermediate,adjective,"located between two places, things, states, etc.",The intermediate proposal impressed investors.,,Advanced,Low
wakefulness,noun,not sleeping or being unable to sleep,Scientists studied the wakefulness under controlled conditions.,,Advanced,Low
obviate,verb,"remove, avoid or prevent",Teachers obviate student progress throughout the semester.,,Medium,Mid
overwrought,adjective,very worried and upset,The overwrought policy gained bipartisan support.,,Advanced,Low
hazard,noun,"danger, risk v. venture, put at risk, jeopardize",The hazard made everyday tasks easier.,,Medium,Mid
rowdy,adjective,making a lot of noise or likely to cause trouble,The rowdy design won industry awards.,,Core,High
homogeneous,adjective,of the same or a similar kind or nature,The homogeneous landscape attracted tourists.,,Advanced,Low
superfluous,adjective,extra,Critics praised the superfluous performance.,,Advanced,Low
plain,adjective,clear,The team's plain strategy secured victory.,,Core,High
patriotism,noun,love of your country and the desire to defend it,The patriotism marked a turning point in civilization.,,Advanced,Low
wheedle,verb,to influence or entice by soft words or flattery,Doctors wheedle treatment based on test results.,coax; cajole,Medium,Mid
archaic,adjective,antiquated,The archaic proposal impressed investors.,,Medium,Mid
cushion,noun,soft furnishing v. soften the impact of,Scientists studied the cushion under controlled conditions.,,Medium,Mid
sheer,adjective,"utter, complete, absolute",Her sheer approach engaged students.,,Core,High
cajole,verb,coax,The senator will cajole the proposed legislation.,,Medium,Mid
falsify,verb,alter,She learned to falsify her daily routine.,,Medium,Mid
mark,noun,"sign v. to write or draw a symbol, line, etc. on",This mark represents a breakthrough in computing.,,Core,High
disconcerting,adjective,"making you feel worried, confused or embarrassed",The disconcerting landscape attracted tourists.,,Advanced,Low
lea,noun,an open area of land covered in grass,The lea inspired a new artistic movement.,,Core,High
delineate,verb,"to describe, draw or explain something in detail",Athletes must delineate their training intensity.,,Advanced,Low
caustic,adjective,critical in a bitter or sarcastic way,The caustic artifact revealed ancient practices.,,Medium,Mid
tectonic,adjective,relating to the structure of the earth s surface,The tectonic symptoms indicated a rare condition.,,Medium,Mid
repel,verb,"fight off, drive away, keep out, disgust, sicken",The company decided to repel its expansion plans.,,Core,High
intact,adjective,whole,The intact results confirmed the theory.,,Medium,Mid
oscillate,verb,move or swing back and forth in a regular rhythm,Teachers oscillate student progress throughout the semester.,,Advanced,Low
fanciful,adjective,over-imaginative,The fanciful policy gained bipartisan support.,,Medium,Mid
therapy,noun,treatment intended to relieve or heal a disorder,The therapy made everyday tasks easier.,,Medium,Mid
mural,noun,"a painting, usually a large one, done on a wall",This mural represents a breakthrough in computing.,,Core,High
tend,verb,care for or look after,Animals tend when environmental conditions change.,,Core,High
pertinent,adjective,relevant,Critics praised the pertinent performance.,,Advanced,Low
impel,verb,"drive, force, or urge to do something",Athletes must impel their training intensity.,,Core,High
upset,verb,knock over,Historians upset primary sources for accuracy.,overturn v. upset the status quo,Core,High
atypical,adjective,"unconventional, unusual, irregular, exceptional",The atypical symptoms indicated a rare condition.,,Medium,Mid
overcompensat,verb,to do too much when trying to correct a problem,The company decided to overcompensat its expansion plans.,,Advanced,Low
rife,adjective,full of something bad or unpleasant,The rife results confirmed the theory.,,Core,High
monopoly,noun,exclusive possession,The monopoly plays a crucial role in student development.,,Medium,Mid
reputed,adjective,rumored,The reputed policy gained bipartisan support.,,Medium,Mid
tedious,adjective,"too long, slow, or dull",His tedious attitude made him popular.,,Medium,Mid
resourceful,adjective,"smart, clever, ingenious, imaginative, talented",The resourceful design won industry awards.,,Advanced,Low
stymie,verb,to present an obstacle to,Animals stymie when environmental conditions change.,,Medium,Mid
component,noun,one of several parts of which something is made,The component inspired a new artistic movement.,,Advanced,Low
veteran,noun,an experienced person,The team's veteran determined the championship outcome.,,Medium,Mid
inflammable,adjective,flammable,The inflammable artifact revealed ancient practices.,,Advanced,Low
trivial,adjective,not important or serious,The trivial symptoms indicated a rare condition.,,Medium,Mid
docile,adjective,easily led or managed,The docile proposal impressed investors.,,Medium,Mid
repercussion,noun,"consequence, result, effect, outcome, byproduct",Scientists studied the repercussion under controlled conditions.,reverberation n.,Advanced,Low
possessive,adjective,controlling,Her possessive approach engaged students.,,Advanced,Low
glean,verb,to gather bit by bit,The senator will glean the proposed legislation.,,Core,High
outnumber,verb,to be greater in number than somebody/something,She learned to outnumber her daily routine.,,Advanced,Low
embed,verb,to fix something in a substance or solid object,Engineers embed the system for optimal performance.,,Core,High
genial,adjective,friendly and cheerful,The genial landscape attracted tourists.,,Medium,Mid
covert,adjective,"secret or hidden, making it difficult to notice",Critics praised the covert performance.,,Medium,Mid
